timestamp,cpu_usage,memory_usage,disk_read,disk_write,network_in,network_out
1788933543.332,4.8,60.0,0.0,119.23,1.99,5.96
1788933544.338,3.1,59.8,0.0,294.51,2.98,0.99
1788933545.339,5.2,59.8,883.04,279.69,4.0,3.0
1788933546.344,4.7,60.0,0.0,99.5,1.99,1.99
1788933547.348,3.7,59.9,15.93,107.52,2.99,1.99
1788933548.353,4.8,60.0,0.0,99.5,2.98,3.98
1788933549.358,6.1,60.0,0.0,123.37,2.98,3.98
1788933550.363,6.1,60.3,143.28,99.5,1.99,1.99
1788933551.365,9.4,60.3,0.0,103.82,2.99,2.99
1788933552.37,6.2,60.2,7.96,95.52,5.97,6.96
1788933553.375,8.7,60.2,0.0,274.61,80.59,5.97
1788933554.378,6.8,60.2,0.0,295.23,2.99,1.99
1788933555.378,7.8,60.1,0.0,2786.28,3.0,2.0
1788933556.382,14.8,61.2,107628.17,2032.75,10.96,8.97
1788933557.387,9.8,61.2,15066.24,99.51,2.99,1.99
1788933558.389,10.9,61.4,6228.62,99.75,6.98,5.99
1788933559.394,9.5,61.2,2555.05,99.5,3.98,4.97
1788933560.4,11.3,61.0,99.46,3870.96,9.95,2.98
1788933561.405,13.1,61.1,274.62,135.32,51.74,458.69
1788933562.41,17.4,61.8,2073.47,2232.66,7.96,13.93
1788933563.412,10.4,62.0,3.99,243.56,2.0,2.0
1788933564.417,12.1,61.9,569.13,501.47,7.96,3.98
1788933565.42,12.8,61.1,131.57,394.7,66.78,87.71
1788933566.424,11.6,60.9,39343.54,215.08,25.89,552.63
1788933567.429,9.6,60.8,4827.56,99.5,98.5,8.95
1788933568.43,10.1,61.1,187.88,111.93,162.9,11.99
1788933569.435,13.4,62.1,206.95,1587.92,216.9,5.97
1788933570.437,8.9,61.2,67.88,99.83,160.72,7.99
1788933571.44,10.3,60.7,39.88,99.7,58.82,5.98
1788933572.445,8.4,60.5,0.0,99.5,40.79,3.98
1788933573.45,8.8,60.2,15.92,99.5,118.4,4.97
1788933574.453,11.1,60.2,19.93,103.65,203.31,7.97
1788933575.454,11.6,60.4,0.0,103.95,161.92,8.0
1788933576.459,11.7,60.4,147.25,330.33,141.28,433.8
1788933577.464,9.1,60.3,0.0,99.5,114.42,6.96
1788933578.469,10.0,60.2,0.0,95.51,67.65,4.97
1788933579.474,10.1,60.4,67.66,155.22,77.61,9.95
1788933580.479,9.5,60.5,35.84,119.46,136.38,7.96
1788933581.484,7.2,60.4,0.0,103.48,77.61,7.96
1788933582.486,9.5,60.4,0.0,131.75,138.74,68.87
1788933583.488,8.2,60.4,0.0,211.46,65.83,7.98
1788933584.493,7.9,60.2,0.0,99.5,58.7,4.97
1788933585.494,4.9,60.2,0.0,99.88,77.9,4.0
1788933586.505,14.5,60.3,4084.04,98.94,75.19,5.94
1788933587.51,10.3,60.5,3478.39,314.41,49.75,535.29
1788933588.515,9.8,60.5,43.78,99.5,57.71,57.71
1788933589.52,5.1,60.5,0.0,99.49,91.54,5.97
1788933590.525,10.0,60.4,67.67,13179.14,97.52,27.86
1788933591.53,14.5,60.9,11.94,99.5,41.79,2.98
1788933592.535,12.7,60.6,0.0,238.96,25.89,21.9
1788933593.54,8.0,60.5,31.84,99.5,39.8,3.98
1788933594.544,6.1,60.5,0.0,99.55,48.78,1.99
1788933595.549,8.7,60.4,0.0,99.49,27.86,18.9
1788933596.555,5.0,60.3,7.96,99.5,50.74,25.87
1788933597.56,9.3,59.7,0.0,99.49,79.6,4.97
1788933598.565,5.4,60.1,99.5,764.13,231.82,11.94
1788933599.569,7.9,60.6,0.0,151.38,94.62,5.98
1788933600.574,4.5,59.8,0.0,222.87,69.65,4.97
1788933601.577,5.4,59.7,0.0,99.67,65.78,3.99
1788933602.582,4.1,59.5,95.52,99.5,118.41,5.97
1788933603.587,4.7,59.9,3.98,835.79,141.29,4.97
1788933604.592,4.2,59.6,0.0,95.52,120.4,3.98
1788933605.597,4.4,59.5,95.52,99.5,168.15,4.97
1788933606.602,5.2,59.5,0.0,298.49,90.54,4.97
1788933607.604,8.9,61.5,279.57,838.7,50.92,3.0
1788933608.609,10.6,60.8,0.0,99.5,110.44,8.95
1788933609.612,11.4,61.6,1009.13,7833.74,131.63,16.95
1788933610.617,7.6,60.7,19.9,103.48,87.56,4.97
